Item,Category,Items_Sold,Net_Sales,Gross_Profit,Avg_Price
Aperol Spritz,Classic Cocktails,1,7.5,7.5,7.5
Apple Juice,Soft Drinks,5,15.75,15.75,3.15
Appletizer Btl,Soft Drinks,1,3.5,3.5,3.5
Aspal Cider,Beer/Cider,6,39.0,39.0,6.5
Balauri Pinot Noir (Romania),RED WINE,4,48.5,48.5,12.12
Bello WHITE Tramonto Pinot Grigio (Italy),WHITE WINE,1,7.5,7.5,7.5
Bhuna,Traditional British Curries,7,81.26,81.26,11.61
Black Label 25ml,WHISKY,6,16.5,16.5,2.75
BOTTOMLESS CURRY THALI,BOTTOMLESS,26,336.39,336.39,12.94
Bundelkhand Nazarbattu (Inspired by the Land...),Beer/Cider,3,15.0,15.0,5.0
Butter Chicken,Classic Indian Curries,12,142.27,142.27,11.86
Butter Chicken & Rice,combo meal,3,32.85,32.85,10.95
Cappuccino/latte/Flat White,Tea/Coffee,3,9.0,9.0,3.0
Carnevale Di Chardonnay (Italy),WHITE WINE,1,7.0,7.0,7.0
Carnevale Di Merlot (Italy),RED WINE,1,20.5,20.5,20.5
Cheese Cake,DESSERTS,3,16.35,16.35,5.45
Cheese Naan,ARTISANAL INDIAN BREAD,3,12.93,12.93,4.31
Chicken Biryani,Aromatic Rice Specialities,4,49.8,49.8,12.45
Chicken Fried Momos,Fusion Indo Chinese Starters,4,32.53,32.53,8.13
Chicken Fried Rice,Fusion Indo Chinese Rice,1,7.45,7.45,7.45
Chicken Malai Tikka,Non-Veg Starters,5,34.75,34.75,6.95
Chicken Manchurian,Fusion Indo Chinese Starters,4,33.8,33.8,8.45
Chicken Manchurian Gravy,Fusion Indo Chinese Dishes,2,21.9,21.9,10.95
Chicken Schezwan Rice,Fusion Indo Chinese Rice,1,7.45,7.45,7.45
Chicken Taka Tak,Goomti Signature,3,38.85,38.85,12.95
Chicken Tikka,Non-Veg Starters,11,61.16,61.16,5.56
Chicken Tikka Masala,Classic Indian Curries,13,152.96,152.96,11.77
Chicken Tikka Wrap,Wraps,7,55.65,55.65,7.95
Chilli Chicken,Fusion Indo Chinese Starters,2,16.9,16.9,8.45
Chilli Chicken Gravy,Fusion Indo Chinese Dishes,2,21.9,21.9,10.95
Golipapper,Quick Nibbles,5,22.25,22.25,4.45
Gordeanna Jungle Ras,Beer/Cider,3,15.0,15.0,5.0
Grand Maharaja Thali,Thali,14,1039.35,1039.35,74.24
Green Salad,Sides,1,4.45,4.45,4.45
Gulab Jamun,DESSERTS,1,5.45,5.45,5.45
Honey Chilli Cauliflower,Fusion Indo Chinese Starters,2,7.45,7.45,3.72
Honey Chilli Potato,Fusion Indo Chinese Starters,4,28.68,28.68,7.17
JD0 B0,Soft Drinks,7,24.5,24.5,3.5
Jalfrezi,Traditional British Curries,5,57.25,57.25,11.45
Jaljeera Lemonade,Mocktails,18,66.0,66.0,3.67
Kadak Chai,Tea/Coffee,12,36.0,36.0,3.0
Kadhai Chicken,Classic Indian Curries,6,69.91,69.91,11.65
Kadhai Paneer,Classic Indian Curries,11,116.62,116.62,10.6
Kadha Khatta Mojto,Mocktails,7,38.5,38.5,5.5
Keema Nan,ARTISANAL INDIAN BREAD,7,34.65,34.65,4.95
Kids Butter Chicken (mild) with Rice/Chips,KIDS FAVOURITES,2,11.9,11.9,5.95
